vocabulary,originalEntry,explanation,example,pinYin,location,place,source
□□(□□),[原写法即现写法],〈童〉睡觉。（〈童〉睡覺。）,[暂无],ku ku (ku²² ku³⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□□(□□),[原写法即现写法],新名词，对英语“WiFi”的音译。（新名詞，對英語“WiFi”的音譯。）,[暂无],vae fae (vɛ³⁵ fɛ⁵⁵),本沪小片,嘉定·真如,真如吴语词语整理稿
□□(□□),[原写法即现写法],〈童〉饮用热水。（〈童〉飲用熱水。）,[暂无],wo wo (ɦuo⁵⁵ ɦuo²¹或ɦuo³⁵ ɦuo²¹ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□□(□□),[原写法即现写法],（水）从上往下流。（（水）從上往下流。）,[暂无],zeu zan (zɤ²² zã⁵³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□□□□(□□□□),[原写法即现写法],〈拟声〉搓洗的声音。（〈擬聲〉搓洗的聲音。）,[暂无],gen den gen den (gəŋ²² dəŋ³⁵ gəŋ²² dəŋ³⁵),本沪小片,嘉定·真如,真如吴语词语整理稿
□□□□(□□□□),[原写法即现写法], 做事难看，不懂规矩。（做事難看，不懂規矩。）,[暂无],ma lu shia tsy (ma⁵⁵ lu⁵⁵ ɕia³³ tsɿ²¹ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□□□□(□□□□),[原写法即现写法],形容磕磕绊绊：物事勿曾嚼勒碎，难末垃胡咙里~。（形容磕磕絆絆：物事勿曾嚼勒碎，難末垃胡嚨裏~。）,[暂无],len len goq goq (ləŋ²² ləŋ⁵⁵ goʔ³³ goʔ²¹),本沪小片,嘉定·真如,真如吴语词语整理稿
□□八气(□□八氣),[原写法即现写法],喧哗吵闹。（喧譁吵鬧。）,[暂无],li la paeq chi (li⁵⁵ la⁵⁵ ɓæʔ³³ tɕʰi²¹ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□□看(□□看),[原写法即现写法],打量打量看看。（打量打量看看。）,[暂无],ia ia khoe (ia⁵⁵ ia³³ kʰø²¹),本沪小片,嘉定·真如,真如吴语词语整理稿
□□渧渧(□□渧渧),[原写法即现写法],形容水洒得一天世界。（形容水灑得一天世界。）,[暂无],than than ti ti (tʰã⁵⁵ tʰã⁵⁵ ɗi²² ɗi²¹),本沪小片,嘉定·真如,真如吴语词语整理稿
□孛相(□孛相),[原写法即现写法],出去闲逛游玩。（出去閑逛遊玩。）,[暂无],dan beq sian (dã²² bəʔ⁵⁵ ɕiã⁵³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□擦□擦(□擦□擦),[原写法即现写法],〈拟声〉松脆的声音。（〈擬聲〉鬆脆的聲音。）,[暂无],khuaeq tshaeq khuaeq tshaeq (kʰuæʔ²² tsʰæʔ⁵⁵ kʰuæʔ⁵⁵ tsʰæʔ²¹ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□菜(□菜),[原写法即现写法],烧饭前准备食材。|| 嘉宝方言。（燒飯前準備食材。 || 嘉寶方言。）,[暂无],han tshe (hã⁵⁵ tsʰe³⁵),本沪小片,嘉定·真如,真如吴语词语整理稿
□出□进(□出□進),[原写法即现写法],装满着进进出出。（裝滿着進進出出。）,[暂无],guaeq tsheq guaeq tsin (guæʔ²² tsʰəʔ²² guæʔ²² tsiŋ³⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□倒(□倒),[原写法即现写法],同【支倒】。（《上海方言词典》） （同【支倒】。（《上海方言詞典》））,[暂无],tson tau(tsoŋ³³ tɔ⁵³),本沪小片,上海·南市,上海方言词典
□东道(□東道),[原写法即现写法],打赌。|| 嘉宝方言。吴淞江以南说“□公道”。（打賭。 || 嘉寶方言。吳淞江以南說“□公道”。）,[暂无],vaon ton dau (vɑ̃²² ɗoŋ⁵⁵ dɔ²¹),本沪小片,嘉定·真如,真如吴语词语整理稿
