【城垛子】,【城垛子】,shenduzy,zəŋ tu tsɿ ,〈名〉﹝旧﹞城墙通道口。,zen22 tu55 tsy21
【弹咯路】,【弹咯路】,dhegaklu,dᴇ kᴀʔ lu ,〈名〉一种旧上海常见的小路，路面由高低不平的鹅卵石或小块花岗石砌成。车行常弹起，人行常格脚。◇又作“弹格路”。,de22 kaq5 lu21
【上只角】,【上只角】,snangzakgok,snɑ̃ tsᴀʔ koʔ ,〈名〉在城市里，居住条件好，生活水平高，居民文化层次、素质较高的地区：伊住拉～，比较高级。,zaon22 tsaq5 koq21
【根底】,【根底】,°genxi,’kəŋ ɕi ,〈名〉底细，来历。,ken55 ti21
【黄浦江】,【黄浦江】,whangpugang,ɦuɑ̃ pʰu kɑ̃ ,〈名〉分割上海为东、西大片的上海母亲河。江的西部称浦西，江的东部称浦东。,waon22 phu55 kaon21
【苏州河】,【苏州河】,°suzouwhu,’su tsɤ ɦu ,〈名〉由西往东流经上海繁华地区的黄浦江支流。又名“吴淞江”。,su55 tseu33 wu21
【吴淞江】,【吴淞江】,whusonggang,ɦu soŋ kɑ̃ ,即“苏州河”。,wu22 son55 kaon21
【本案】,【本案】,benoe,pəŋ ø ,〈名〉所在地。现常用于商品房标志地图上：侬看报纸地图浪已经标出～来了，不过搿种地图比例尺侪是勿对个。◇借自日语。,pen33 oe44
【户口】,【户口】,whukou,ɦu kʰɤ ,户口,wu22 kheu44
【袋袋户口】,【袋袋户口】,dhedhewhuk ou,dᴇ dᴇ ɦu kʰ ɤ ,不能报入的户口。,de22 de55 wu33 kheu21
【上横头】,【上横头】,shangwhandhou(shangwhangdhou),zɑ̃ ɦu a ̃ dɤ (zɑ̃ ɦuɑ̃ dɤ ),上面的一头。,zaon22 wan55 deu21
【下横头】,【下横头】,hhowhandhou(hhowhangdhou),ɦo ɦu a ̃ dɤ (ɦo ɦuɑ̃ dɤ ),下面的一头。,gho22 wan55 deu21
【边横头】,【边横头】,°biwhandhou(biwhangdhou),’pi ɦu a ̃ dɤ (pi ɦuɑ̃ dɤ ),〈名〉旁边，边上：伊～立了一个人。,pi55 wan33 deu21
【壗头】,【壗头】,°hedhou,’hᴇ dɤ ,〈名〉那儿。跟在处所名词后作方位词用：我坐辣伊个床~，一声勿响。,he55 deu21
【趋脚跟头】,【趋脚跟头】,°qujiakgendhou,’tɕʰy tɕiᴀʔ kəŋ dɤ ,脚边，脚后：物事勿要摆辣我～。,chiu55 ciaq3 ken33 deu21
【笡对面】,【笡对面】,qiademi,tɕʰia tᴇ mi ,〈名〉斜对面。,chia33 te55 mi21
【笡对过】,【笡对过】,qiadegu,tɕʰia tᴇ ku ,〈名〉斜对面。,chia33 te55 ku21
【横里向】,【横里向】,whanlixian(whanglixiang),ɦu a ̃ li ɕia ̃ (ɦuɑ̃ li ɕiɑ̃ ),〈名〉横里。,wan22 li55 shian21
【当中横里】,【当中横里】,°dangzongwhanli(°dangzongwhangli),’tɑ̃ tsoŋ ɦu a ̃ li (’tɑ̃ tsoŋ ɦuɑ̃ li ),正中间。,taon55 tson33 wan33 li21
【横垛里(向)】,【横垛里(向)】,whandulixian/whanduli(whangdulixiang/whangduli),ɦu a ̃ tu li ɕia ̃ /ɦu a ̃ tu li (ɦuɑ̃ tu li ɕiɑ̃ /ɦuɑ̃ tu li ),〈名〉①横向里：～窜出一个人来丨我讲到一半辰光，伊～插进一句言话话。②半中间：～出一个程咬金。③旁边地方：侬看，～还有一扇小门。,wan22 tu55 li33 shian21
【横里】,【横里】,whanli(whangli),ɦu a ̃ li (ɦuɑ̃ li ),①同“横垛里”。②概数，左右：伊大概二三十~(指岁数)。丨半当中～。,wan22 li44
【斜垛里】,【斜垛里】,xhiaduli,ʑia tu li ,〈名〉斜的方向，斜面：～窜出一部车子。,zhia22 tu55 li21
【歪垛里】,【歪垛里】,°huaduli,’hu a tu li ,①〈名〉旁边，侧旁：～出一个人来。②〈名〉不正当的地方：侬脑筋常常用到～去。③〈名〉歧途：我勿是迭个意思，侬想到~去了。,hua55 tu33 li21
【横角】,【横角】,whanshakgok(whangshakgok),ɦu a ̃ zᴀʔ koʔ (ɦuɑ̃ zᴀʔ koʔ ),〈名〉斜对面儿：搿部车子～窜过来，当心,wan22 koq4
【东横头】,【东横头】,°dongwhandhou(°dongwhangdhou),’toŋ ɦu a ̃ dɤ (’toŋ ɦuɑ̃ dɤ ),〈名〉﹝旧﹞东边。,ton55 wan33 deu21
【东壗(头)】,【东壗(头)】,°donghedhou/°donghe,’toŋ hᴇ dɤ /’toŋ hᴇ ,〈名〉﹝旧﹞东面。,ton55 he33 deu21
【西横头】,【西横头】,°xiwhandhou(°xiwhangdhou),’ɕi ɦu a ̃ dɤ (’ɕi ɦuɑ̃ dɤ ),〈名〉﹝旧﹞西边。,shi55 wan33 deu21
【西壗(头)】,【西壗(头)】,°xihedhou/°xihe,’ɕi hᴇ dɤ /’ɕi hᴇ ,〈名〉﹝旧﹞西面。,shi55 he33 deu21
【南壗】,【南壗】,noehe,nø hᴇ ,①〈名〉﹝旧﹞南面。②〈名〉﹝旧﹞特指南市城区。,noe22 he44
【北壗】,【北壗】,bokhe,poʔ hᴇ ,①〈名〉﹝旧﹞北面。②〈名〉﹝旧﹞特指南市北部外国租界。,poq3 he44
【右半爿】,【右半爿】,yhouboebhe,ɦiɤ pø bᴇ ,〈名〉右面一半。,yeu22 poe55 be21
【屋里向】,【屋里向】,oklixian(oklixiang),oʔ li ɕia ̃ (oʔ li ɕiɑ̃ ),①〈名〉房内。②〈名〉家中：我上半天回到~个。,oq3 li55 shian21
【暗头里】,【暗头里】,oedhouli,ø dɤ li ,①暗处：勿要蹲辣~看书。②暗中：小王辣～拆台脚拆台。,oe33 deu55 li21
【暗里向】,【暗里向】,oelixian(oelixiang),ø li ɕia ̃ (ø li ɕiɑ̃ ),暗中。,oe33 li55 shian21
【头横头】,【头横头】,dhouwhandhou(dhouwhangdhou),dɤ ɦu a ̃ dɤ (dɤ ɦuɑ̃ dɤ ),头边上(指躺下时)：几本书一直摆辣～，在床浪常常翻翻。,deu22 wan55 deu21
【一横头】,【一横头】,yikwhandhou(yikwhangdhou),iɪʔ ɦu a ̃ dɤ (iɪʔ ɦuɑ̃ dɤ ),一头：两个人困～讲到天亮。,iq3 wan55 deu21
【两横头】,【两横头】,lianwhandhou(liangwhangdhou),lia ̃ ɦu a ̃ dɤ (liɑ̃ ɦuɑ̃ dɤ ),两头：我脱伊一床～困。,lian22 wan55 deu21
【脚底下】,【脚底下】,jikdihho,tɕiɪʔ ti ɦo ,脚下。,ciaq3 ti55 gho21
【秋天】,【秋天】,°qiuti,’tɕʰiɤ tʰi ,秋天,chieu55 thi21
【秋场里】,【秋场里】,°qiushanli(°qiushangli),’tɕʰiɤ za ̃ li (’tɕʰiɤ zɑ̃ li ),秋天里。,chieu55 zan33 li21
【倒黄梅】,【倒黄梅】,daowhangme,tɔ ɦuɑ̃ mᴇ ,黄梅雨季延长到小暑后。,tau33 waon55 me21
【起九】,【起九】,qijiu,tɕʰi tɕiɤ ,冬至当天开始数九。,chi33 cieu44
【三九】,【三九】,°sejiu,’sᴇ tɕiɤ ,〈名〉冬至后第三个九天。通常是最寒冷的一段日子。,se55 cieu21
【出九】,【出九】,cekjiu(cakjiu),tsʰəʔ tɕiɤ (tsʰᴀʔ tɕiɤ ),冬至那天起每九天一计，至第九个九天末日为止，称出九。,tsheq3 cieu44
【腊月里】,【腊月里】,lakyhuikli,lᴀʔ ɦyʔ li ,〈名〉夏历十二月。,laq1 yuq2 li23
【新年新岁】,【新年新岁】,°xinnixinsy,’ɕiŋ ȵi ɕiŋ sɿ ,〈名〉春节期间；开春。◇“岁”保留老上海话音。,shin55 gni33 shin33 sy21
